,parquetFile,fileName,coinTag,pairedCurr,coefVariation,meanC,stdDevC,meanVol
77,dotusd.gzip,dotusd.csv,dot,usd,0.18777224897805503,5.015610571485977,0.9417924770060299,416.1904611417867
79,drnusd.gzip,drnusd.csv,drn,usd,0.5899354590958521,0.08652225553012967,0.05104254653817568,6698.926516690649
81,dshusd.gzip,dshusd.csv,dsh,usd,0.9634800470833437,286.3624936638014,275.90454887810307,18.27822263242587
82,dtausd.gzip,dtausd.csv,dta,usd,0.7460906369751833,0.002312759742360695,0.0017255283893484515,75282.95191703549
83,dtxusd.gzip,dtxusd.csv,dtx,usd,0.13846160072536956,4.000268232997071,0.55388354287162,2.588725260181148
85,duskusd.gzip,duskusd.csv,dusk,usd,,,,
88,edousd.gzip,edousd.csv,edo,usd,0.7378530745826158,1.8966423337622036,1.3994433773499897,1107.5362081713085
89,egldusd.gzip,egldusd.csv,egld,usd,,,,
91,elfusd.gzip,elfusd.csv,elf,usd,0.632384124964827,0.7909382029764656,0.5001767633905249,632.8833598485279
92,enjusd.gzip,enjusd.csv,enj,usd,7.894904593516123,0.15604586872056514,1.2319672457612036,1994.1664298750186
94,eosdtusd.gzip,eosdtusd.csv,eosdt,usd,,,,
101,eosusd.gzip,eosusd.csv,eos,usd,0.7017285796050231,5.0418053502633775,3.537978907085326,4331.635928987493
103,essusd.gzip,essusd.csv,ess,usd,1.2954947066384352,0.009996608503026966,0.012950553400008207,42449.00723889483
105,etcusd.gzip,etcusd.csv,etc,usd,0.6851341746477694,12.787697055717576,8.761288267914772,591.7837185077428
112,ethusd.gzip,ethusd.csv,eth,usd,0.7446453071847366,305.68217520039696,227.62479725299806,142.64040358283742
116,etpusd.gzip,etpusd.csv,etp,usd,0.7688387278892158,1.7768595046392233,1.3661184011846825,1594.940249946901
119,eususd.gzip,eususd.csv,eus,usd,0.03836139625934979,1.1245786581228798,0.04314040752905965,1344.9884573961635
121,eutusd.gzip,eutusd.csv,eut,usd,0.04727377581272252,1.1174892044117646,0.052827934122499406,785.5583663402451
123,fetusd.gzip,fetusd.csv,fet,usd,0.391471258231064,0.06124161559593423,0.023974332313443526,10730.520199211745
125,filusd.gzip,filusd.csv,fil,usd,0.20735341507279728,30.082789209009952,6.237769077403308,15.97328232340545
